,Silhouette,Calinski-Harabasz,Rand Index,Homogeneity,Mutual Information
K-Means,0.45287045490449646,467.2940613573797,0.24849738316486547,0.5163073724003489,0.3440281066173913
Mean Shift,0.41952817535039877,350.611802080538,0.3442327668446096,0.43318362262778637,0.34425325922777217
Agglomerative Clustering,0.39549758725982453,342.19746255347013,0.2616428509354925,0.5803335600147128,0.41008924510198336
