,Confusion Matrix,Accuracy,Precision,Recall,F1,ROC AUC
k-NN,"
[[17  0  2]
 [ 1 15  5]
 [ 1  5  8]]",0.7407407407407407,0.7447530864197531,0.7407407407407407,0.7424072516587233,0.8585858585858586
SVM,"
[[19  0  0]
 [ 0 19  2]
 [ 0 11  3]]",0.7592592592592593,0.7537037037037037,0.7592592592592593,0.7234835454649696,0.8845598845598847
Decision Tree,"
[[18  1  0]
 [ 0 21  0]
 [ 1  0 13]]",0.9629629629629629,0.9638047138047138,0.9629629629629629,0.9628353590455226,0.9848484848484849
Naive Bayes,"
[[19  0  0]
 [ 0 21  0]
 [ 0  0 14]]",1.0,1.0,1.0,1.0,1.0
