,Confusion Matrix,Accuracy,Precision,Recall,F1,ROC AUC
k-NN,"
[[53  0  0  0  0  0  0  0  0  0]
 [ 0 50  0  0  0  0  0  0  0  0]
 [ 0  0 47  0  0  0  0  0  0  0]
 [ 0  0  0 54  0  0  0  0  0  0]
 [ 0  0  0  0 60  0  0  0  0  0]
 [ 0  0  0  0  0 65  0  0  0  1]
 [ 0  0  0  0  0  0 53  0  0  0]
 [ 0  0  0  0  0  0  0 55  0  0]
 [ 0  0  0  0  0  0  0  0 43  0]
 [ 0  0  0  1  1  1  0  0  0 56]]",0.9925925925925926,0.9925916435953825,0.9925925925925926,0.9925448826458289,1.0
SVM,"
[[53  0  0  0  0  0  0  0  0  0]
 [ 0 50  0  0  0  0  0  0  0  0]
 [ 0  0 47  0  0  0  0  0  0  0]
 [ 0  0  0 53  0  0  0  0  1  0]
 [ 0  0  0  0 60  0  0  0  0  0]
 [ 0  0  0  0  0 65  1  0  0  0]
 [ 0  0  0  0  0  0 53  0  0  0]
 [ 0  0  0  0  0  0  0 54  0  1]
 [ 0  0  0  0  0  0  0  0 42  1]
 [ 0  0  0  1  0  0  0  1  1 56]]",0.987037037037037,0.9870916487136155,0.987037037037037,0.9870309814097147,1.0
Decision Tree,"
[[48  0  0  1  2  1  0  0  0  1]
 [ 0 33  6  1  4  0  2  1  2  1]
 [ 1  1 38  3  1  0  1  0  2  0]
 [ 0  2  0 46  1  0  1  0  1  3]
 [ 0  3  0  1 49  0  4  3  0  0]
 [ 0  2  0  0  1 58  0  0  1  4]
 [ 0  0  1  0  0  1 51  0  0  0]
 [ 0  1  0  4  2  0  0 47  1  0]
 [ 0  4  0  2  0  0  0  0 35  2]
 [ 0  0  1  3  1  2  0  1  0 51]]",0.8444444444444444,0.8466012536537589,0.8444444444444444,0.8444563193744371,0.816734693877551
Naive Bayes,"
[[52  0  0  0  0  0  0  1  0  0]
 [ 0 37  2  0  0  0  0  2  6  3]
 [ 0  3 31  0  0  0  1  0 12  0]
 [ 0  0  2 41  0  0  1  0  8  2]
 [ 0  0  0  0 51  0  2  7  0  0]
 [ 0  0  0  1  0 62  1  2  0  0]
 [ 0  0  0  0  1  1 51  0  0  0]
 [ 0  0  0  0  0  1  0 54  0  0]
 [ 0  2  0  0  0  0  0  2 39  0]
 [ 0  1  1  1  0  2  1  7  4 42]]",0.8518518518518519,0.875701497570996,0.8518518518518519,0.8541108658074064,0.9812653061224488
