Date,Open,High,Low,Close,Adj Close,Volume
2017-04-12,16.43,16.43,16.43,16.43,15.956594,600.0
2017-04-13,16.43,16.43,16.43,16.43,15.956594,596.969696969697
2017-04-17,16.43,16.43,16.43,16.43,15.956594,593.939393939394
2017-04-18,16.43,16.43,16.43,16.43,15.956594,590.9090909090909
2017-04-19,16.43,16.43,16.43,16.43,15.956594,587.8787878787879
2017-04-20,16.43,16.43,16.43,16.43,15.956594,584.8484848484849
2017-04-21,16.43,16.43,16.43,16.43,15.956594,581.8181818181819
2017-04-24,16.43,16.43,16.43,16.43,15.956594,578.7878787878788
2017-04-25,16.43,16.43,16.43,16.43,15.956594,575.7575757575758
2017-04-26,16.43,16.43,16.43,16.43,15.956594,572.7272727272727
2017-04-27,16.43,16.43,16.43,16.43,15.956594,569.6969696969697
2017-04-28,16.43,16.43,16.43,16.43,15.956594,566.6666666666666
2017-05-01,16.43,16.43,16.43,16.43,15.956594,563.6363636363636
2017-05-02,16.43,16.43,16.43,16.43,15.956594,560.6060606060606
2017-05-03,16.43,16.43,16.43,16.43,15.956594,557.5757575757576
2017-05-04,16.43,16.43,16.43,16.43,15.956594,554.5454545454545
2017-05-05,16.43,16.43,16.43,16.43,15.956594,551.5151515151515
2017-05-08,16.43,16.43,16.43,16.43,15.956594,548.4848484848485
2017-05-09,16.43,16.43,16.43,16.43,15.956594,545.4545454545455
2017-05-10,16.43,16.43,16.43,16.43,15.956594,542.4242424242424
2017-05-11,16.43,16.43,16.43,16.43,15.956594,539.3939393939394
2017-05-12,16.43,16.43,16.43,16.43,15.956594,536.3636363636364
2017-05-15,16.43,16.43,16.43,16.43,15.956594,533.3333333333334
2017-05-16,16.43,16.43,16.43,16.43,15.956594,530.3030303030303
2017-05-17,16.43,16.43,16.43,16.43,15.956594,527.2727272727273
2017-05-18,16.43,16.43,16.43,16.43,15.956594,524.2424242424242
2017-05-19,16.43,16.43,16.43,16.43,15.956594,521.2121212121212
2017-05-22,16.43,16.43,16.43,16.43,15.956594,518.1818181818182
2017-05-23,16.43,16.43,16.43,16.43,15.956594,515.1515151515151
2017-05-24,16.43,16.43,16.43,16.43,15.956594,512.1212121212121
2017-05-25,16.43,16.43,16.43,16.43,15.956594,509.0909090909091
2017-05-26,16.43,16.43,16.43,16.43,15.956594,506.06060606060606
2017-05-30,16.43,16.43,16.43,16.43,15.956594,503.030303030303
2017-05-31,16.43,16.43,16.43,16.43,15.956594,500.0
2017-06-01,16.43,16.43,16.43,16.43,15.956594,496.969696969697
2017-06-02,16.43,16.43,16.43,16.43,15.956594,493.93939393939394
2017-06-05,16.43,16.43,16.43,16.43,15.956594,490.9090909090909
2017-06-06,16.43,16.43,16.43,16.43,15.956594,487.8787878787879
2017-06-07,16.43,16.43,16.43,16.43,15.956594,484.8484848484849
2017-06-08,16.43,16.43,16.43,16.43,15.956594,481.8181818181818
2017-06-09,16.43,16.43,16.43,16.43,15.956594,478.78787878787875
2017-06-12,16.43,16.43,16.43,16.43,15.956594,475.75757575757575
2017-06-13,16.43,16.43,16.43,16.43,15.956594,472.72727272727275
2017-06-14,16.43,16.43,16.43,16.43,15.956594,469.6969696969697
2017-06-15,16.43,16.43,16.43,16.43,15.956594,466.66666666666663
2017-06-16,16.43,16.43,16.43,16.43,15.956594,463.6363636363636
2017-06-19,16.43,16.43,16.43,16.43,15.956594,460.6060606060606
2017-06-20,16.43,16.43,16.43,16.43,15.956594,457.57575757575756
2017-06-21,16.43,16.43,16.43,16.43,15.956594,454.54545454545456
2017-06-22,16.43,16.43,16.43,16.43,15.956594,451.5151515151515
2017-06-23,16.43,16.43,16.43,16.43,15.956594,448.4848484848485
2017-06-26,16.43,16.43,16.43,16.43,15.956594,445.4545454545455
2017-06-27,16.43,16.43,16.43,16.43,15.956594,442.42424242424244
2017-06-28,16.43,16.43,16.43,16.43,15.956594,439.3939393939394
2017-06-29,16.43,16.43,16.43,16.43,15.956594,436.3636363636364
2017-06-30,16.43,16.43,16.43,16.43,15.956594,433.33333333333337
2017-07-03,16.43,16.43,16.43,16.43,15.956594,430.3030303030303
2017-07-05,16.43,16.43,16.43,16.43,15.956594,427.27272727272725
2017-07-06,16.43,16.43,16.43,16.43,15.956594,424.24242424242425
2017-07-07,16.43,16.43,16.43,16.43,15.956594,421.21212121212125
2017-07-10,16.43,16.43,16.43,16.43,15.956594,418.1818181818182
2017-07-11,16.43,16.43,16.43,16.43,15.956594,415.1515151515151
2017-07-12,16.43,16.43,16.43,16.43,15.956594,412.1212121212121
2017-07-13,16.43,16.43,16.43,16.43,15.956594,409.0909090909091
2017-07-14,16.43,16.43,16.43,16.43,15.956594,406.06060606060606
2017-07-17,16.43,16.43,16.43,16.43,15.956594,403.030303030303
2017-07-18,16.43,16.43,16.43,16.43,15.956594,400.0
2017-07-19,16.43,16.43,16.43,16.43,15.956594,396.969696969697
